Categoría,Correo,Asunto,Message
ham,secretaria88_1@outlook.es,Correct. So how was work...,Correct. So how was work today
ham,carlos37@outlook.es,Just sent again. Do you...,"Just sent again. Do you scream and moan in bed, princess?"
ham,jefe80@hotmail.com,I wake up long ago...,"I wake up long ago already... Dunno, what other thing?"
ham,secretaria12@gmail.com,Oh just getting even with...,Oh just getting even with u.... u?
ham,luis50@gmail.com,I thk 50 shd be...,I thk 50 shd be ok he said plus minus 10.. Did ü leave a line in between paragraphs?
ham,ana77@uni.edu,Can you call me plz....,Can you call me plz. Your number shows out of coveragd area. I have urgnt call in vasai &amp; have to reach before 4'o clock so call me plz
ham,jefe51_1@gmail.com,Yeah jay's sort of a...,Yeah jay's sort of a fucking retard
ham,profesor_x62_1@outlook.es,"Sorry, was in the bathroom,...","Sorry, was in the bathroom, sup"
spam,ganador_loto_32@felicidades.info,New Spam Message - Important (ID: 195),Ur balance is now £500. Ur next question is: Who sang 'Uptown Girl' in the 80's ? 2 answer txt ur ANSWER to 83600. Good luck!
ham,secretaria57@outlook.es,My exam is for february...,My exam is for february 4. Wish you a great day.
ham,ana39@hotmail.com,I dont know what to...,I dont know what to do to come out of this so only am ask questions like this dont mistake me.
ham,profesor_x56@hotmail.com,"Aight no rush, I'll ask...","Aight no rush, I'll ask jay"
ham,profesor_x46_1@gmail.com,Good Morning plz call me...,Good Morning plz call me sir
ham,profesor_x39@outlook.es,It's ok lar. U sleep...,It's ok lar. U sleep early too... Nite...
ham,sofia79@uni.edu,"Oh... Icic... K lor, den...","Oh... Icic... K lor, den meet other day..."
ham,profesor_x40_1@uni.edu,Oh ! A half hour...,"Oh ! A half hour is much longer in Syria than Canada, eh ? Wow you must get SO much more work done in a day than us with all that extra time ! *grins*"
ham,secretaria96@uni.edu,Sometimes we put walls around...,"Sometimes we put walls around our hearts,not just to be safe from getting hurt.. But to find out who cares enough to break the walls &amp; get closer.. GOODNOON:)"
ham,profesor_x36_1@gmail.com,"Sweet, we may or may...","Sweet, we may or may not go to 4U to meet carlos so gauge patty's interest in that"
ham,ana56@trabajo.com,Then she buying today? Ü...,Then she buying today? Ü no need to c meh...
ham,profesor_x65@uni.edu,Aight sorry I take ten...,Aight sorry I take ten years to shower. What's the plan?
ham,carlos46@gmail.com,Every monday..nxt week vl be...,Every monday..nxt week vl be completing..
ham,sofia66_1@gmail.com,Might ax well im there.,Might ax well im there.
ham,secretaria78@outlook.es,Just chill for another 6hrs....,Just chill for another 6hrs. If you could sleep the pain is not a surgical emergency so see how it unfolds. Okay
ham,carlos21_1@outlook.es,Yeah I'll try to scrounge...,Yeah I'll try to scrounge something up
ham,luis70@uni.edu,Crazy ar he's married. Ü...,Crazy ar he's married. Ü like gd looking guys not me. My frens like say he's korean leona's fave but i dun thk he is. Aft some thinking mayb most prob i'll go.
ham,carlos34@trabajo.com,Were somewhere on Fredericksburg,Were somewhere on Fredericksburg
ham,ana34@outlook.es,Que pases un buen tiempo...,Que pases un buen tiempo or something like that
ham,secretaria92_1@trabajo.com,Is it ok if I...,Is it ok if I stay the night here? Xavier has a sleeping bag and I'm getting tired
ham,luis13_1@hotmail.com,She doesnt need any test.,She doesnt need any test.
ham,jefe67_1@outlook.es,"Nothing much, chillin at home....","Nothing much, chillin at home. Any super bowl plan?"
spam,soporte_tecnico_32@actualizacion-sistema.com,Exclusive Free Offer! (ID: 196),"FREE2DAY sexy St George's Day pic of Jordan!Txt PIC to 89080 dont miss out, then every wk a saucy celeb!4 more pics c PocketBabe.co.uk 0870241182716 £3/wk"
ham,sofia42_1@uni.edu,Bugis oso near wat...,Bugis oso near wat...
ham,profesor_x33_1@trabajo.com,Yo theres no class tmrw...,Yo theres no class tmrw right?
ham,profesor_x98_1@gmail.com,Let Ur Heart Be Ur...,Let Ur Heart Be Ur Compass Ur Mind Ur Map Ur Soul Ur Guide And U Will Never loose in world....gnun - Sent via WAY2SMS.COM
ham,secretaria87@hotmail.com,"Goodnight, sleep well da please...","Goodnight, sleep well da please take care pa. Please."
ham,jefe85@gmail.com,Baaaaabe! I misss youuuuu !...,Baaaaabe! I misss youuuuu ! Where are you ? I have to go and teach my class at 5 ...
ham,ana79@hotmail.com,Convey my regards to him,Convey my regards to him
ham,carlos60@trabajo.com,U ned to convince him...,U ned to convince him tht its not possible witot hurting his feeling its the main
ham,secretaria49_1@gmail.com,Good afternoon loverboy ! How...,"Good afternoon loverboy ! How goes you day ? Any luck come your way? I think of you, sweetie and send my love across the sea to make you smile and happy"
ham,ana64@gmail.com,If i start sending blackberry...,If i start sending blackberry torch to nigeria will you find buyer for me?like 4a month. And tell dad not to buy bb from anyone oh.
ham,carlos38_1@outlook.es,&lt;#&gt; %of pple marry with...,"&lt;#&gt; %of pple marry with their lovers... becz they hav gud undrstndng dat avoids problems. i sent dis 2 u, u wil get gud news on friday by d person you like. And tomorrow will be the best day of your life. Dont break this chain. If you break you will suffer. send this to  &lt;#&gt;  frnds in &lt;#&gt;  mins whn u read..."
ham,secretaria77_1@uni.edu,Yo dude guess who just...,Yo dude guess who just got arrested the other day
ham,profesor_x64_1@uni.edu,Shuhui say change 2 suntec...,Shuhui say change 2 suntec steamboat? U noe where? Where r u now?
ham,luis72@trabajo.com,What does the dance river...,What does the dance river do?
ham,ana74@uni.edu,"Yetunde, i'm sorry but moji...","Yetunde, i'm sorry but moji and i seem too busy to be able to go shopping. Can you just please find some other way to get what you wanted us to get. Please forgive me. You can reply free via yahoo messenger."
ham,luis11@gmail.com,Hey i will be really...,Hey i will be really pretty late... You want to go for the lesson first? I will join you. I'm only reaching tp mrt
spam,paypal_support_46@pago-pendient.biz,URGENT ALERT: Immediate Action Required (ID: 197),"HOT LIVE FANTASIES call now 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870..k"
ham,luis16_1@outlook.es,Bbq this sat at mine...,Bbq this sat at mine from 6ish. Ur welcome 2 come
ham,ana37@trabajo.com,"I don't know, same thing...","I don't know, same thing that's wrong everyso often, he panicks starts goin on bout not bein good enough …"
ham,sofia51@gmail.com,Alright. I'm out--have a good...,Alright. I'm out--have a good night!
ham,jefe46@uni.edu,Did you try making another...,Did you try making another butt.
ham,carlos23_1@trabajo.com,Hope you are feeling great....,Hope you are feeling great. Pls fill me in. Abiola
ham,profesor_x57@gmail.com,I though we shd go...,I though we shd go out n have some fun so bar in town or something – sound ok?
ham,profesor_x86@hotmail.com,1) Go to write msg...,"1) Go to write msg 2) Put on Dictionary mode 3)Cover the screen with hand, 4)Press  &lt;#&gt; . 5)Gently remove Ur hand.. Its interesting..:)"
spam,paypal_support_47@pago-pendient.biz,URGENT ALERT: Immediate Action Required (ID: 198),"Bears Pic Nick, and Tom, Pete and ... Dick. In fact, all types try gay chat with photo upload call 08718730666 (10p/min). 2 stop texts call 08712460324"
spam,servicio_seguridad_42@alerta-oficial.net,Mobile Stock Clearance! (ID: 199),"500 New Mobiles from 2004, MUST GO! Txt: NOKIA to No: 89545 & collect yours today!From ONLY £1 www.4-tc.biz 2optout 087187262701.50gbp/mtmsg18 TXTAUCTION"
ham,ana86_1@trabajo.com,We're finally ready fyi,We're finally ready fyi
ham,ana27_1@outlook.es,Auntie huai juan never pick...,Auntie huai juan never pick up her phone
spam,soporte_tecnico_33@actualizacion-sistema.com,URGENT ALERT: Immediate Action Required (ID: 200),Double Mins & Double Txt & 1/2 price Linerental on Latest Orange Bluetooth mobiles. Call MobileUpd8 for the very latest offers. 08000839402 or call2optout/LF56
ham,ana55_1@gmail.com,"Ya tel, wats ur problem..","Ya tel, wats ur problem.."
spam,servicio_seguridad_43@alerta-oficial.net,Exclusive Free Offer! (ID: 201),No. 1 Nokia Tone 4 ur mob every week! Just txt NOK to 87021. 1st Tone FREE ! so get txtin now and tell ur friends. 150p/tone. 16 reply HL 4info
ham,jefe41@outlook.es,i dnt wnt to tlk...,i dnt wnt to tlk wid u
ham,jefe15@trabajo.com,We spend our days waiting...,"We spend our days waiting for the ideal path to appear in front of us.. But what we forget is.. ""paths are made by walking.. not by waiting.."" Goodnight!"
ham,luis16@trabajo.com,Its ok my arm is...,Its ok my arm is feeling weak cuz i got a shot so we can go another time
ham,profesor_x14_1@trabajo.com,Please reserve ticket on saturday...,Please reserve ticket on saturday eve from chennai to thirunelvali and again from tirunelvali to chennai on sunday eve...i already see in net..no ticket available..i want to book ticket through tackle ..
ham,secretaria89@uni.edu,Storming msg: Wen u lift...,"Storming msg: Wen u lift d phne, u say ""HELLO"" Do u knw wt is d real meaning of HELLO?? . . . It's d name of a girl..! . . . Yes.. And u knw who is dat girl?? ""Margaret Hello"" She is d girlfrnd f Grahmbell who invnted telphone... . . . . Moral:One can 4get d name of a person, bt not his girlfrnd... G o o d n i g h t . . .@"
ham,sofia84_1@outlook.es,That's ok. I popped in...,That's ok. I popped in to ask bout something and she said you'd been in. Are you around tonght wen this girl comes?
ham,carlos36@outlook.es,All e best 4 ur...,All e best 4 ur exam later.
ham,profesor_x76@uni.edu,Hope ur head doesn't hurt...,Hope ur head doesn't hurt 2 much ! Am ploughing my way through a pile of ironing ! Staying in with a chinky tonight come round if you like.
ham,sofia19@hotmail.com,Oh k.i think most of...,Oh k.i think most of wi and nz players unsold.
ham,sofia16_1@trabajo.com,Haha... Where got so fast...,"Haha... Where got so fast lose weight, thk muz go 4 a month den got effect... Gee,later we go aust put bk e weight."
ham,sofia95_1@hotmail.com,I wonder how you got...,"I wonder how you got online, my love ? Had you gone to the net cafe ? Did you get your phone recharged ? Were you on a friends net ? I think of you, boytoy"
ham,profesor_x25@hotmail.com,"Haha just kidding, papa needs...","Haha just kidding, papa needs drugs"
ham,profesor_x36@hotmail.com,"Thk shld b can... Ya,...","Thk shld b can... Ya, i wana go 4 lessons... Haha, can go for one whole stretch..."
ham,profesor_x64_1@outlook.es,Oh ok..,Oh ok..
ham,ana83@outlook.es,R we still meeting 4...,R we still meeting 4 dinner tonight?
ham,luis65_1@hotmail.com,Thats cool! I am a...,Thats cool! I am a gentleman and will treat you with dignity and respect.
ham,ana36@hotmail.com,Shall i start from hear.,Shall i start from hear.
ham,carlos61@uni.edu,Then we wait 4 u...,Then we wait 4 u lor... No need 2 feel bad lar...
ham,sofia75_2@gmail.com,No did you check? I...,No did you check? I got his detailed message now
ham,secretaria75_1@uni.edu,You have registered Sinco as...,You have registered Sinco as Payee. Log in at icicibank.com and enter URN  &lt;#&gt;  to confirm. Beware of frauds. Do NOT share or disclose URN to anyone.
ham,secretaria89@trabajo.com,"No, I decided that only...","No, I decided that only people who care about stuff vote and caring about stuff is for losers"
ham,luis39@hotmail.com,Kaiez... Enjoy ur tuition... Gee......,Kaiez... Enjoy ur tuition... Gee... Thk e second option sounds beta... I'll go yan jiu den msg u...
ham,jefe46@hotmail.com,You have registered Sinco as...,You have registered Sinco as Payee. Log in at icicibank.com and enter URN  &lt;#&gt;  to confirm. Beware of frauds. Do NOT share or disclose URN to anyone.
ham,luis58@outlook.es,cool. We will have fun...,cool. We will have fun practicing making babies!
ham,luis43@hotmail.com,Actually getting ready to leave...,Actually getting ready to leave the house.
ham,ana94_2@hotmail.com,K..k..any special today?,K..k..any special today?
spam,soporte_tecnico_34@actualizacion-sistema.com,URGENT ALERT: Immediate Action Required (ID: 202),"URGENT, IMPORTANT INFORMATION FOR O2 USER. TODAY IS YOUR LUCKY DAY! 2 FIND OUT WHY LOG ONTO HTTP://WWW.URAWINNER.COM THERE IS A FANTASTIC SURPRISE AWAITING FOR YOU"
ham,ana59@hotmail.com,Then we gotta do it...,Then we gotta do it after that
ham,ana81_1@gmail.com,"I've got ten bucks, jay...","I've got ten bucks, jay is being noncomittal"
ham,ana16@trabajo.com,Where at were hungry too,Where at were hungry too
ham,profesor_x44@uni.edu,Pls speak to that customer...,Pls speak to that customer machan.
ham,carlos50_2@uni.edu,somewhere out there beneath the...,somewhere out there beneath the pale moon light someone think in of u some where out there where dreams come true... goodnite &amp; sweet dreams
ham,luis14_1@uni.edu,Wen ur lovable bcums angry...,"Wen ur lovable bcums angry wid u, dnt take it seriously.. Coz being angry is d most childish n true way of showing deep affection, care n luv!.. kettoda manda... Have nice day da."
spam,ganador_loto_33@felicidades.info,New Spam Message - Important (ID: 203),Dear U've been invited to XCHAT. This is our final attempt to contact u! Txt CHAT to 86688 150p/MsgrcvdHG/Suite342/2Lands/Row/W1J6HL LDN 18 yrs
ham,secretaria90_1@gmail.com,So wats ur opinion abt...,So wats ur opinion abt him and how abt is character?
ham,sofia48@gmail.com,Jay is snickering and tells...,Jay is snickering and tells me that x is totally fucking up the chords as we speak
ham,sofia83@gmail.com,No..few hours before.went to hair...,No..few hours before.went to hair cut .
ham,carlos15@gmail.com,No wonder... Cos i dun...,No wonder... Cos i dun rem seeing a silver car... But i thk i saw a black one...
ham,sofia69@trabajo.com,Lmao. Take a pic and...,Lmao. Take a pic and send it to me.
ham,jefe38@gmail.com,Speak only when you feel...,Speak only when you feel your words are better than the silence... Gud mrng:-)
ham,jefe65_1@outlook.es,No. She's currently in scotland...,No. She's currently in scotland for that.
ham,luis74@outlook.es,Do you work all this...,Do you work all this week ?
spam,ganador_loto_34@felicidades.info,Exclusive Free Offer! (ID: 204),Congratulations ur awarded either £500 of CD gift vouchers & Free entry 2 our £100 weekly draw txt MUSIC to 87066 TnCs www.Ldew.com 1 win150ppmx3age16
ham,secretaria58@hotmail.com,Lol great now im getting...,Lol great now im getting hungry.
ham,profesor_x69_2@hotmail.com,Yes.. now only saw your...,Yes.. now only saw your message..
ham,sofia34@uni.edu,I'll be at mu in...,I'll be at mu in like  &lt;#&gt;  seconds
ham,carlos39_1@outlook.es,Ok...,Ok...
ham,ana86_2@trabajo.com,THING R GOOD THANX GOT...,THING R GOOD THANX GOT EXAMS IN MARCH IVE DONE NO REVISION? IS FRAN STILL WITH BOYF? IVE GOTTA INTERVIW 4 EXETER BIT WORRIED!x
ham,profesor_x70_1@hotmail.com,"Tell you what, if you...","Tell you what, if you make a little spreadsheet and track whose idea it was to smoke to determine who ""smokes too much"" for the entire month of february, I'll come up"
spam,paypal_support_48@pago-pendient.biz,New Spam Message - Important (ID: 205),For sale - arsenal dartboard. Good condition but no doubles or trebles!
ham,luis49@outlook.es,Don't look back at the...,Don't look back at the building because you have no coat and i don't want you to get more sick. Just hurry home and wear a coat to the gym!!!
ham,profesor_x67@outlook.es,"My painful personal thought- ""I...","My painful personal thought- ""I always try to keep everybody happy all the time. But nobody recognises me when i am alone"""
ham,ana87@hotmail.com,Thanks for ve lovely wisheds....,Thanks for ve lovely wisheds. You rock
ham,luis84@hotmail.com,You intrepid duo you! Have...,You intrepid duo you! Have a great time and see you both soon.
ham,secretaria48@uni.edu,I asked sen to come...,I asked sen to come chennai and search for job.
ham,sofia38_1@outlook.es,Dad went out oredi...,Dad went out oredi...
ham,jefe17_1@uni.edu,I jus hope its true...,"I jus hope its true that  missin me cos i'm really missin him! You haven't done anything to feel guilty about, yet."
ham,sofia52@outlook.es,Wat so late still early...,Wat so late still early mah. Or we juz go 4 dinner lor. Aiya i dunno...
ham,profesor_x22@uni.edu,"Arms fine, how's Cardiff and...","Arms fine, how's Cardiff and uni?"
ham,ana12_1@uni.edu,In fact when do you...,In fact when do you leave? I think addie goes back to school tues or wed
ham,profesor_x12@outlook.es,Cool breeze... Bright sun... Fresh...,"Cool breeze... Bright sun... Fresh flower... Twittering birds... All these waiting to wish u: ""GOODMORNING &amp; HAVE A NICE DAY"" :)"
ham,carlos69@uni.edu,Ya:)going for restaurant..,Ya:)going for restaurant..
ham,luis96@gmail.com,"Its ok., i just askd...","Its ok., i just askd did u knw tht no?"
spam,ganador_loto_35@felicidades.info,Exclusive Free Offer! (ID: 206),Free 1st week entry 2 TEXTPOD 4 a chance 2 win 40GB iPod or £250 cash every wk. Txt POD to 84128 Ts&Cs www.textpod.net custcare 08712405020.
ham,jefe17_1@trabajo.com,Those ducking chinchillas,Those ducking chinchillas
ham,profesor_x12_2@hotmail.com,I am in a marriage...,I am in a marriage function
ham,ana47@hotmail.com,Looks like u wil b...,Looks like u wil b getting a headstart im leaving here bout 2.30ish but if u r desperate for my company I could head in earlier-we were goin to meet in rummer.
ham,secretaria23@gmail.com,Don‘t give a flying monkeys...,Don‘t give a flying monkeys wot they think and I certainly don‘t mind. Any friend of mine and all that!
spam,servicio_seguridad_44@alerta-oficial.net,New Spam Message - Important (ID: 207),As a registered optin subscriber ur draw 4 £100 gift voucher will be entered on receipt of a correct ans to 80062 Whats No1 in the BBC charts
ham,luis18_1@gmail.com,say thanks2.,say thanks2.
ham,luis65@gmail.com,Msg me when rajini comes.,Msg me when rajini comes.
ham,profesor_x70_1@outlook.es,Ya! when are ü taking...,Ya! when are ü taking ure practical lessons? I start in june..
ham,ana28@gmail.com,"That's good, because I need...","That's good, because I need drugs"
ham,profesor_x98_1@trabajo.com,Stupid.its not possible,Stupid.its not possible
ham,sofia50@trabajo.com,Can ü all decide faster...,Can ü all decide faster cos my sis going home liao..
spam,soporte_tecnico_35@actualizacion-sistema.com,Exclusive Free Offer! (ID: 208),Summers finally here! Fancy a chat or flirt with sexy singles in yr area? To get MATCHED up just reply SUMMER now. Free 2 Join. OptOut txt STOP Help08714742804
ham,sofia41@trabajo.com,U sleeping now.. Or you...,U sleeping now.. Or you going to take? Haha.. I got spys wat.. Me online checking n replying mails lor..
spam,ganador_loto_36@felicidades.info,URGENT ALERT: Immediate Action Required (ID: 209),CLAIRE here am havin borin time & am now alone U wanna cum over 2nite? Chat now 09099725823 hope 2 C U Luv CLAIRE xx Calls£1/minmoremobsEMSPOBox45PO139WA
ham,profesor_x51@trabajo.com,Fighting with the world is...,"Fighting with the world is easy, u either win or lose bt fightng with some1 who is close to u is dificult if u lose - u lose if u win - u still lose."
spam,noresponder_43@notificacion-urgente.org,New Spam Message - Important (ID: 210),Bought one ringtone and now getting texts costing 3 pound offering more tones etc
ham,carlos37@trabajo.com,Yalru lyfu astne chikku.. Bt...,"Yalru lyfu astne chikku.. Bt innu mundhe lyf ali halla ke bilo (marriage)program edhae, so lyf is nt yet ovr chikku..ali vargu lyfu meow meow:-D"
ham,carlos96@trabajo.com,Kinda. First one gets in...,Kinda. First one gets in at twelve! Aah. Speak tomo
spam,soporte_tecnico_36@actualizacion-sistema.com,Congratulations! You Have Won a Prize (ID: 211),"09066362231 URGENT! Your mobile No 07xxxxxxxxx won a £2,000 bonus caller prize on 02/06/03! this is the 2nd attempt to reach YOU! call 09066362231 ASAP!"
ham,ana36_1@gmail.com,Ok good then i later...,Ok good then i later come find ü... C lucky i told ü to go earlier... Later pple take finish ü no more again...
ham,carlos28@trabajo.com,Wat makes u thk i'll...,Wat makes u thk i'll fall down. But actually i thk i'm quite prone 2 falls. Lucky my dad at home i ask him come n fetch me already.
spam,noresponder_44@notificacion-urgente.org,Congratulations! You Have Won a Prize (ID: 212),"YOU 07801543489 are guaranteed the latests Nokia Phone, a 40GB iPod MP3 player or a £500 prize! Txt word:COLLECT to No:83355! TC-LLC NY-USA 150p/Mt msgrcvd18+"
ham,ana42@hotmail.com,Your account has been refilled...,Your account has been refilled successfully by INR  &lt;DECIMAL&gt; . Your KeralaCircle prepaid account balance is Rs  &lt;DECIMAL&gt; . Your Transaction ID is KR &lt;#&gt; .
ham,secretaria94_1@trabajo.com,I wont touch you with...,I wont touch you with out your permission.
spam,paypal_support_49@pago-pendient.biz,URGENT ALERT: Immediate Action Required (ID: 213),Hi its LUCY Hubby at meetins all day Fri & I will B alone at hotel U fancy cumin over? Pls leave msg 2day 09099726395 Lucy x Calls£1/minMobsmoreLKPOBOX177HP51FL
ham,luis41_1@trabajo.com,7 wonders in My WORLD...,"7 wonders in My WORLD 7th You 6th Ur style 5th Ur smile 4th Ur Personality 3rd Ur Nature 2nd Ur SMS and 1st ""Ur Lovely Friendship""... good morning dear"
ham,carlos38_2@outlook.es,Take some small dose tablet...,Take some small dose tablet for fever
ham,jefe86_1@gmail.com,Oh. U must have taken...,Oh. U must have taken your REAL Valentine out shopping first.
ham,jefe43@trabajo.com,Just sent you an email...,"Just sent you an email – to an address with incomm in it, is that right?"
ham,luis49_1@gmail.com,"Will do, you gonna be...","Will do, you gonna be at blake's all night? I might be able to get out of here a little early"
ham,ana48@gmail.com,Friendship is not a game...,"Friendship is not a game to play, It is not a word to say, It doesn\'t start on March and ends on May, It is tomorrow, yesterday, today and e"
ham,carlos33_1@gmail.com,Nice. Wait...should you be texting...,"Nice. Wait...should you be texting right now? I'm not gonna pay your ticket, ya know!"
ham,luis64@outlook.es,I'm watching lotr w my...,I'm watching lotr w my sis dis aft. So u wan 2 meet me 4 dinner at nite a not?
ham,ana72@trabajo.com,Why you keeping me away...,Why you keeping me away like this
ham,secretaria77@gmail.com,I think its far more...,I think its far more than that but find out. Check google maps for a place from your dorm.
ham,luis76@trabajo.com,My trip was ok but...,My trip was ok but quite tiring lor. Uni starts today but it's ok 4 me cos i'm not taking any modules but jus concentrating on my final yr project.
ham,carlos48@gmail.com,Have you always been saying...,Have you always been saying welp?
ham,luis23@hotmail.com,"I'm a guy, browsin is...","I'm a guy, browsin is compulsory"
ham,sofia28@hotmail.com,Ok...,Ok...
ham,jefe89_1@uni.edu,Purity of friendship between two...,Purity of friendship between two is not about smiling after reading the forwarded message..Its about smiling just by seeing the name. Gud evng musthu
ham,luis24_1@uni.edu,"Sorry, I'll call later","Sorry, I'll call later"
ham,luis56_2@outlook.es,(I should add that I...,"(I should add that I don't really care and if you can't I can at least get this dude to fuck off but hey, your money if you want it)"
ham,jefe59@trabajo.com,Hello lover! How goes that...,"Hello lover! How goes that new job? Are you there now? Are you happy? Do you think of me? I wake, my slave and send you a teasing kiss from across the sea"
ham,sofia85_2@uni.edu,I told your number to...,I told your number to gautham..
ham,jefe59_1@trabajo.com,Tell them no need to...,Tell them no need to investigate about me anywhere.
ham,jefe25@uni.edu,Ok i juz receive..,Ok i juz receive..
ham,sofia86_2@outlook.es,Cant believe i said so...,"Cant believe i said so many things to you this morning when all i really wanted to say was good morning, i love you! Have a beautiful morning. See you in the library later."
spam,noresponder_45@notificacion-urgente.org,Exclusive Free Offer! (ID: 214),"Your account has been credited with 500 FREE Text Messages. To activate, just txt the word: CREDIT to No: 80488 T&Cs www.80488.biz"
ham,secretaria96@gmail.com,In the end she might...,In the end she might still vomit but its okay. Not everything will come out.
ham,ana85@outlook.es,How are you with moneY...as...,How are you with moneY...as in to you...money aint a thing....how are you sha!
ham,secretaria55_2@gmail.com,It has everything to do...,It has everything to do with the weather. Keep extra warm. Its a cold but nothing serious. Pls lots of vitamin c
ham,ana40@outlook.es,Hey gals.. Anyone of u...,Hey gals.. Anyone of u going down to e driving centre tmr?
ham,ana21@hotmail.com,I'm always on yahoo messenger...,I'm always on yahoo messenger now. Just send the message to me and i.ll get it you may have to send it in the mobile mode sha but i.ll get it. And will reply.
ham,carlos74@outlook.es,I'm putting it on now....,I'm putting it on now. It should be ready for  &lt;TIME&gt;
ham,carlos54@outlook.es,Time n Smile r the...,"Time n Smile r the two crucial things in our life. Sometimes time makes us to forget smile, and sometimes someone's smile makes us to forget time gud noon"
spam,paypal_support_50@pago-pendient.biz,New Spam Message - Important (ID: 215),"SMS. ac JSco: Energy is high, but u may not know where 2channel it. 2day ur leadership skills r strong. Psychic? Reply ANS w/question. End? Reply END JSCO"
ham,secretaria16@trabajo.com,Host-based IDPS for linux systems.,Host-based IDPS for linux systems.
spam,noresponder_46@notificacion-urgente.org,URGENT ALERT: Immediate Action Required (ID: 216),"HOT LIVE FANTASIES call now 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870 is a national rate call"
ham,jefe11@outlook.es,Don no da:)whats you plan?,Don no da:)whats you plan?
ham,secretaria57@gmail.com,Ill be there on &lt;#&gt;...,Ill be there on  &lt;#&gt;  ok.
ham,luis52@gmail.com,Oh my God. I'm almost...,Oh my God. I'm almost home
ham,luis95@gmail.com,Total video converter free download...,Total video converter free download type this in google search:)
spam,soporte_tecnico_37@actualizacion-sistema.com,Exclusive Free Offer! (ID: 217),Thanks for the Vote. Now sing along with the stars with Karaoke on your mobile. For a FREE link just reply with SING now.
ham,jefe18@gmail.com,Wen ur lovable bcums angry...,"Wen ur lovable bcums angry wid u, dnt take it seriously.. Coz being angry is d most childish n true way of showing deep affection, care n luv!.. kettoda manda... Have nice day da."
ham,profesor_x71_1@outlook.es,Sounds like something that someone...,Sounds like something that someone testing me would sayy
ham,sofia59_1@gmail.com,When u love someone Dont...,When u love someone Dont make them to love u as much as u do. But Love them so much that they dont want to be loved by anyone except you... Gud nit.
ham,secretaria63@uni.edu,"Pete,is this your phone still?...","Pete,is this your phone still? Its Jenny from college and Leanne.what are you up to now?:)"
ham,carlos32@trabajo.com,Oops sorry. Just to check...,Oops sorry. Just to check that you don't mind picking me up tomo at half eight from station. Would that be ok?
ham,sofia79_1@outlook.es,"Hey sweet, I was wondering...","Hey sweet, I was wondering when you had a moment if you might come to me ? I want to send a file to someone but it won't go over yahoo for them because their connection sucks, remember when you set up that page for me to go to and download the format disc ? Could you tell me how to do that ? Or do you know some other way to download big files ? Because they can download stuff directly from the internet. Any help would be great, my prey ... *teasing kiss*"
ham,profesor_x34_1@trabajo.com,Hows the champ just leaving...,Hows the champ just leaving glasgow!
ham,profesor_x19@outlook.es,K:)all the best:)congrats...,K:)all the best:)congrats...
ham,sofia48_1@gmail.com,I wonder if you'll get...,I wonder if you'll get this text?
ham,luis86_1@uni.edu,I need to come home...,I need to come home and give you some good lovin...
spam,paypal_support_51@pago-pendient.biz,Exclusive Free Offer! (ID: 218),Our brand new mobile music service is now live. The free music player will arrive shortly. Just install on your phone to browse content from the top artists.
ham,sofia18@gmail.com,Shall i ask one thing...,Shall i ask one thing if you dont mistake me.
ham,carlos61@hotmail.com,Check wid corect speling i.e....,Check wid corect speling i.e. Sarcasm
spam,ganador_loto_37@felicidades.info,Congratulations! You Have Won a Prize (ID: 219),"URGENT! Your Mobile No was awarded a £2,000 Bonus Caller Prize on 1/08/03! This is our 2nd attempt to contact YOU! Call 0871-4719-523 BOX95QU BT National Rate"
ham,luis80@outlook.es,Are you angry with me....,Are you angry with me. What happen dear
ham,carlos93_2@gmail.com,I thk u dun haf...,I thk u dun haf 2 hint in e forum already lor... Cos i told ron n darren is going 2 tell shuhui.
ham,secretaria55@hotmail.com,Yup ok thanx...,Yup ok thanx...
ham,carlos89@trabajo.com,Hi:)cts employee how are you?,Hi:)cts employee how are you?
ham,carlos77@uni.edu,Pls pls find out from...,Pls pls find out from aunt nike.
ham,ana52@trabajo.com,Wow ... I love you...,"Wow ... I love you sooo much, you know ? I can barely stand it ! I wonder how your day goes and if you are well, my love ... I think of you and miss you"
ham,profesor_x11@uni.edu,No screaming means shouting..,No screaming means shouting..
ham,secretaria75_2@uni.edu,Hey what happen de. Are...,Hey what happen de. Are you alright.
ham,profesor_x24@outlook.es,Should I have picked up...,Should I have picked up a receipt or something earlier
ham,profesor_x84@uni.edu,I think chennai well settled?,I think chennai well settled?
ham,luis46@trabajo.com,Oh dang! I didn't mean...,Oh dang! I didn't mean o send that to you! Lol!
ham,carlos74@gmail.com,Unfortunately i've just found out...,Unfortunately i've just found out that we have to pick my sister up from the airport that evening so don't think i'll be going out at all. We should try to go out one of th
ham,ana37@gmail.com,Horrible bf... I now v...,Horrible bf... I now v hungry...
ham,ana96@outlook.es,Remember on that day..,Remember on that day..
spam,ganador_loto_38@felicidades.info,Congratulations! You Have Won a Prize (ID: 220),You have won a Nokia 7250i. This is what you get when you win our FREE auction. To take part send Nokia to 86021 now. HG/Suite342/2Lands Row/W1JHL 16+
